Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
15,"P Mombaerts, J Iacomini, RS Johnson, K Herrup…",RAG-1-deficient mice have no mature B and T lymphocytes,3836,1992, cell.com, Cell,"… a mutation in RAG-1 into the germline of mice via gene targeting in embryonic stem cells. 
RAG-l… The immune system of the RAG-1 mutant mice can be described as that of nonleaky scid …",https://www.cell.com/cell/pdf/0092-8674(92)90030-G.pdf,113
83,"Y Sancak, L Bar-Peled, R Zoncu, AL Markhard, S Nada…",Ragulator-Rag complex targets mTORC1 to the lysosomal surface and is necessary for its activation by amino acids,2828,2010, cell.com, Cell,"… Rag GTPases did not reveal any obvious lipid modification signals that might mediate Rag 
… possibility that unknown Rag-interacting proteins are needed to localize the Rag GTPases to …",https://www.cell.com/fulltext/S0092-8674(10)00177-7,177
4,"MA Oettinger, DG Schatz, C Gorka, D Baltimore","RAG-1 and RAG-2, adjacent genes that synergistically activate V (D) J recombination",2074,1990, science.org, Science,"… The 2.1kilobase RAG-2 complementary DNA encodes a putative protein of 527 amino acids 
whose sequence is unrelated to that of RAG-1. Like RAG-1, RAG-2is conserved between …",https://www.science.org/doi/abs/10.1126/science.2360047,58
84,"E Kim, P Goraksha-Hicks, L Li, TP Neufeld…",Regulation of TORC1 by Rag GTPases in nutrient response,1622,2008, nature.com, Nature cell …,"… Rag complexes may interact functionally with Ran to modulate nuclear transport 22,29 . Here, 
we identify Rag … Our data indicate that Rag promotes cell growth and inhibits autophagy by …",https://www.nature.com/articles/ncb1753,90
50,"DG Schatz, MA Oettinger, D Baltimore","The V (D) J recombination activating gene, Rag-1",1622,1989, cell.com, Cell,"… R2.2 were likely to lie within 150 kb of RAG-l. The Genomic Walk to RAG-1 As the first step 
in isolating the genomic sequences encoding RAG-l, we attempted to clone fragment R7.5 by …",https://www.cell.com/cell/pdf/0092-8674(89)90760-5.pdf,44
52,A McRobbie,British fashion design: Rag trade or image industry?,1114,2003, taylorfrancis.com,,"British Fashion Design explores the tensions between fashion as art form, and the demands 
of a ruthlessly commercial industry. Based on interviews and research conducted over a …",https://www.taylorfrancis.com/books/mono/10.4324/9780203168011/british-fashion-design-angela-mcrobbie,48
24,M Gellert,"V (D) J recombination: RAG proteins, repair factors, and regulation",982,2002, annualreviews.org, Annual review of biochemistry,"… genes, nor any closely related sequences,which suggests that the RAG genes might have 
… RAG genes can now beunified. RAG-mediated transposition makes it plausible that the RAG …",https://www.annualreviews.org/content/journals/10.1146/annurev.biochem.71.090501.150203,41
66,"SD Fugmann, AI Lee, PE Shockett…","The RAG proteins and V (D) J recombination: complexes, ends, and transposition",855,2000, annualreviews.org, Annual review of …,"… Here we review theinteraction of the RAG proteins with DNA, … Wealso discuss postcleavage 
functions of the RAG proteins, … , and we consider RAG protein biochemistry in the context of …",https://www.annualreviews.org/content/journals/10.1146/annurev.immunol.18.1.495,33
26,"K Schwarz, GH Gauss, L Ludwig, U Pannicke, Z Li…",RAG mutations in human B cell-negative SCID,643,1996, science.org, Science,"… Gene-targeted mice with a deletion of the RAG-1 or RAG-2 gene lack mature B and T cells 
because of an inability to initiate V(D)J recombination (3). The RAG-1 and RAG-2 proteins …",https://www.science.org/doi/abs/10.1126/science.274.5284.97,21
8,"A Asai, Z Wu, Y Wang, A Sil…","Self-rag: Learning to retrieve, generate, and critique through self-reflection",511,2023, openreview.net, The Twelfth International …,"Despite their remarkable capabilities, large language models (LLMs) often produce responses 
containing factual inaccuracies due to their sole reliance on the parametric knowledge …",https://openreview.net/forum?id=hSyW5go0v8,170
